,CVE,DESCRIP
33,A164,"Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica"
34,A165,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica"
35,A167,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica"
36,A168,"Otras tuberculosis respiratorias, sin mención de confirmación"
37,A169,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica"
38,A170,Meningitis tuberculosa
39,A178,Otras tuberculosis del sistema nervioso
40,A179,"Tuberculosis del sistema nervioso, no especificada"
41,A180,Tuberculosis de huesos y articulaciones
42,A181,Tuberculosis del aparato genitourinario
43,A182,Linfadenopatía periférica tuberculosa
44,A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos"
45,A184,Tuberculosis de la piel y el tejido subcutáneo
46,A187,Tuberculosis de glándulas suprarrenales
47,A188,Tuberculosis de otros órganos especificados
48,A190,Tuberculosis miliar aguda de un solo sitio especificado
49,A191,Tuberculosis miliar aguda de sitios múltiples
50,A192,"Tuberculosis miliar aguda, no especificada"
51,A198,Otras tuberculosis miliares
52,A199,"Tuberculosis miliar, sin otra especificación"
53,A239,"Brucelosis, no especificada"
54,A279,"Leptospirosis, no especificada"
55,A301,Lepra tuberculoide
56,A305,Lepra lepromatosa
57,A319,"Infección por micobacteria, no especificada"
58,A321,Meningitis y meningoencefalitis listeriana
59,A35X,Otros tétanos
60,A370,Tos ferina debida a Bordetella pertussis
61,A379,"Tos ferina, no especificada"
62,A390,Meningitis meningocócica
63,A394,"Meningococemia, no especificada"
64,A403,Sepsis debida a Streptococcus pneumoniae
65,A409,"Sepsis estreptocócica, no especificada"
66,A410,Sepsis debida a Staphylococcus aureus
67,A411,Sepsis debida a otro estafilococo especificado
68,A412,Sepsis debida a estafilococo no especificado
69,A413,Sepsis debida a Haemophilus influenzae
70,A414,Sepsis debida a anaerobios
71,A415,Sepsis debida a otros organismos gramnegativos
72,A418,Otras sepsis especificadas
73,A419,"Sepsis, no especificada"
74,A420,Actinomicosis pulmonar
75,A46X,Erisipela
76,A480,Gangrena gaseosa
77,A483,Síndrome del choque tóxico
78,A488,Otras enfermedades bacterianas especificadas
79,A490,"Infección estafilocócica, sin otra especificación"
80,A491,"Infección estreptocócica y enterocócica, de sitio no especificado"
81,A493,"Infección por microplasma, sin otra especificación"
82,A498,Otras infecciones bacterianas de sitio no especificado
83,A499,"Infección bacteriana, no especificada"
84,A500,"Sífilis congénita precoz, sintomática"
85,A501,"Sífilis congénita precoz, latente"
86,A502,"Sífilis congénita precoz, sin otra especificación"
87,A509,"Sífilis congénita, sin otra especificación"
88,A512,Sífilis primaria en otros sitios
89,A521,Neurosífilis sintomática
90,A539,"Sífilis, no especificada"
91,A548,Otras infecciones gonocócicas
92,A681,Fiebre recurrente transmitida por garrapatas
93,A692,Enfermedad de Lyme
94,A70X,Infección debida a Chlamydia psittaci
95,A770,Fiebre maculosa debida a Rickettsia rickettsii
96,A779,"Fiebre maculosa, no especificada"
97,A798,Otras rickettsiosis especificadas
98,A799,"Rickettsiosis, no especificada"
99,A810,Enfermedad de Creutzfeldt-Jakob
100,A812,Leucoencefalopatía multifocal progresiva
101,A819,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación"
102,A820,Rabia selvática
103,A86X,"Encefalitis viral, no especificada"
104,A879,"Meningitis viral, sin otra especificación"
105,A880,Fiebre exantemática enteroviral [exantema de Boston]
106,A888,Otras infecciones virales especificadas del sistema nervioso central
107,A89X,"Infección viral del sistema nervioso central, no especificada"
108,A928,Otras fiebres virales especificadas transmitidas por mosquitos
109,A970,Dengue sin signos de alarma
110,A971,Dengue con signos de alarma
111,A972,Dengue severo
112,A979,Dengue no especificado
113,A99X,"Fiebre viral hemorrágica, no especificada"
114,B001,Dermatitis vesicular herpética
115,B002,Gingivoestomatitis y faringoamigdalitis herpética
116,B004,Encefalitis herpética
117,B009,"Infección debida al virus del herpes, no especificada"
118,B011,Encefalitis debida a varicela
119,B012,Neumonía debida a varicela
120,B018,Varicela con otras complicaciones
121,B019,Varicela sin complicaciones
122,B020,Encefalitis debida a herpes zoster
123,B022,Herpes zoster con otros compromisos del sistema nervioso
124,B023,Herpes zoster ocular
125,B027,Herpes zoster diseminado
126,B028,Herpes zoster con otras complicaciones
127,B029,Herpes zoster sin complicaciones
128,B09X,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
129,B150,"Hepatitis aguda tipo A, con coma hepático"
130,B159,"Hepatitis aguda tipo A, sin coma hepático"
131,B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepático"
132,B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático"
133,B171,Hepatitis aguda tipo C
134,B179,Hepatitis viral aguda no especificada
135,B181,"Hepatitis viral tipo B crónica, sin agente delta"
136,B182,Hepatitis viral tipo C crónica
137,B189,"Hepatitis viral crónica, sin otra especificación"
138,B190,Hepatitis viral no especificada con coma hepático
139,B199,Hepatitis viral no especificada sin coma hepático
140,B200,"Enfermedad por VIH, resultante en infección por micobacterias"
141,B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas"
142,B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
143,B203,"Enfermedad por VIH, resultante en otras infecciones virales"
144,B204,"Enfermedad por VIH, resultante en candidiasis"
145,B205,"Enfermedad por VIH, resultante en otras micosis"
146,B206,"Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii"
147,B207,"Enfermedad por VIH, resultante en infecciones múltiples"
148,B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
149,B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
150,B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi"
151,B211,"Enfermedad por VIH, resultante en linfoma de Burkitt"
152,B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
153,B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados"
154,B217,"Enfermedad por VIH, resultante en tumores malignos múltiples"
155,B218,"Enfermedad por VIH, resultante en otros tumores malignos"
156,B219,"Enfermedad por VIH, resultante en tumores malignos no especificados"
157,B220,"Enfermedad por VIH, resultante en encefalopatía"
158,B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
159,B222,"Enfermedad por VIH, resultante en síndrome caquéctico"
160,B227,"Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte"
161,B230,Síndrome de infección aguda debida a VIH
162,B231,"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente)"
163,B232,"Enfermedad por VIH, resultante en anormalidades inmunológicas y hematológicas, no clasificadas en otra parte"
164,B238,"Enfermedad por VIH, resultante en otras afecciones especificadas"
165,B24X,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación"
166,B251,Hepatitis debida a virus citomegálico
167,B259,"Enfermedad por virus citomegálico, no especificada"
168,B262,Encefalitis por parotiditis
169,B263,Pancreatitis por parotiditis
170,B270,Mononucleosis debida a herpes virus gamma
171,B271,Mononucleosis por citomegalovirus
172,B278,Otras mononucleosis infecciosas
173,B279,"Mononucleosis infecciosa, no especificada"
174,B332,Carditis viral
175,B333,"Infecciones debidas a retrovirus, no clasificadas en otra parte"
176,B334,Síndrome (cardio) - pulmonar por hantavirus (SPH) (SCPH) (J171)
177,B338,Otras enfermedades virales especificadas
178,B341,"Infección debida a enterovirus, sin otra especificación"
179,B342,"Infección debida a Coronavirus, sin otra especificación"
180,B348,Otras infecciones virales de sitio no especificado
181,B349,"Infección viral, no especificada"
182,B370,Estomatitis candidiásica
183,B371,Candidiasis pulmonar
184,B373,Candidiasis de la vulva y de la vagina
185,B374,Candidiasis de otras localizaciones urogenitales
186,B376,Endocarditis debida a candida
187,B377,Sepsis debida a candida
188,B378,Candidiasis de otros sitios
189,B379,"Candidiasis, no especificada"
190,B380,Coccidioidomicosis pulmonar aguda
191,B382,"Coccidioidomicosis pulmonar, sin otra especificación"
192,B384,Meningitis debida a coccidioidomicosis
193,B387,Coccidioidomicosis diseminada
194,B388,Otras formas de coccidioidomicosis
195,B389,"Coccidioidomicosis, no especificada"
196,B390,Infección pulmonar aguda debida a Histoplasma capsulatum
197,B392,"Infección pulmonar debida a Histoplasma capsulatum, sin otra especificación"
198,B393,Infección diseminada debida a Histoplasma capsulatum
199,B394,"Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación"
200,B399,"Histoplasmosis, no especificada"
201,B403,Blastomicosis cutánea
202,B431,Absceso cerebral feomicótico
203,B440,Aspergilosis pulmonar invasiva
204,B441,Otras aspergilosis pulmonares
205,B447,Aspergilosis diseminada
206,B448,Otras formas de aspergilosis
207,B449,"Aspergilosis, no especificada"
208,B450,Criptococosis pulmonar
209,B451,Criptococosis cerebral
210,B461,Mucormicosis rinocerebral
211,B462,Mucormicosis gastrointestinal
212,B463,Mucormicosis cutánea
213,B464,Mucormicosis diseminada
214,B465,"Mucormicosis, sin otra especificación"
215,B479,"Micetoma, no especificado"
216,B487,Micosis oportunistas
217,B488,Otras micosis especificadas
218,B49X,"Micosis, no especificada"
219,B569,"Tripanosomiasis africana, sin otra especificación"
220,B572,Enfermedad de Chagas (crónica) que afecta al corazón
221,B575,Enfermedad de Chagas (crónica) que afecta otros órganos
222,B582,Meningoencefalitis debida a Toxoplasma
223,B588,Toxoplasmosis con otro órgano afectado
224,B589,"Toxoplasmosis, no especificada"
225,B59X,Neumocistosis
226,B650,Esquistosomiasis debida a Schistosoma haematobium (esquistosomiasis urinaria)
227,B679,"Equinococosis, otra y la no especificada"
228,B690,Cisticercosis del sistema nervioso central
229,B699,"Cisticercosis, no especificada"
230,B744,Mansoneliasis
231,B749,"Filariasis, no especificada"
232,B770,Ascariasis con complicaciones intestinales
233,B778,Ascariasis con otras complicaciones
234,B779,"Ascariasis, no especificada"
235,B789,"Estrongiloidiasis, no especificada"
236,B829,"Parasitosis intestinal, sin otra especificación"
237,B839,"Helmintiasis, no especificada"
238,B86X,Escabiosis
239,B870,Miasis cutánea
240,B871,Miasis en heridas
241,B878,Miasis de otros sitios
242,B879,"Miasis, no especificada"
243,B889,"Infestación, no especificada"
244,B900,Secuelas de tuberculosis del sistema nervioso central
245,B908,Secuelas de tuberculosis de otros órganos especificados
246,B909,Secuelas de tuberculosis respiratoria y de tuberculosis no especificada
247,B91X,Secuelas de poliomielitis
248,B941,Secuelas de encefalitis viral
249,B942,Secuelas de hepatitis viral
250,B948,Secuelas de otras enfermedades infecciosas y parasitarias especificadas
251,B949,Secuelas de enfermedades infecciosas y parasitarias no especificadas
252,B99X,Otras enfermedades infecciosas y las no especificadas
253,C000,"Tumor maligno del labio superior, cara externa"
254,C001,"Tumor maligno del labio inferior, cara externa"
255,C003,"Tumor maligno del labio superior, cara interna"
256,C009,"Tumor maligno del labio, parte no especificada"
257,C01X,Tumor maligno de la base de la lengua
258,C020,Tumor maligno de la cara dorsal de la lengua
259,C022,Tumor maligno de la cara ventral de la lengua
260,C024,Tumor maligno de la amígdala lingual
261,C028,Lesión de sitios contiguos de la lengua
262,C029,"Tumor maligno de la lengua, parte no especificada"
263,C030,Tumor maligno de la encía superior
264,C031,Tumor maligno de la encía inferior
265,C039,"Tumor maligno de la encía, parte no especificada"
266,C049,"Tumor maligno del piso de la boca, parte no especificada"
267,C050,Tumor maligno del paladar duro
268,C051,Tumor maligno del paladar blando
269,C058,Lesión de sitios contiguos del paladar
270,C059,"Tumor maligno del paladar, parte no especificada"
271,C060,Tumor maligno de la mucosa de la mejilla
272,C062,Tumor maligno del área retromolar
273,C069,"Tumor maligno de la boca, parte no especificada"
274,C07X,Tumor maligno de la glándula parótida
275,C080,Tumor maligno de la glándula submaxilar
276,C081,Tumor maligno de la glándula sublingual
277,C088,Lesión de sitios contiguos de las glándulas salivales mayores
278,C089,"Tumor maligno de glándula salival mayor, no especificada"
279,C090,Tumor maligno de la fosa amigdalina
280,C091,Tumor maligno del pilar amigdalino (anterior) (posterior)
281,C099,"Tumor maligno de la amígdala, parte no especificada"
282,C109,"Tumor maligno de la orofaringe, parte no especificada"
283,C111,Tumor maligno de la pared posterior de la nasofaringe
284,C119,"Tumor maligno de la nasofaringe, parte no especificada"
285,C12X,Tumor maligno del seno piriforme
286,C139,"Tumor maligno de la hipofaringe, parte no especificada"
287,C140,"Tumor maligno de la faringe, parte no especificada"
288,C142,Tumor maligno del anillo de Waldeyer
289,C148,"Lesión de sitios contiguos del labio, de la cavidad bucal y de la faringe"
290,C150,"Tumor maligno del esófago, porción cervical"
291,C151,"Tumor maligno del esófago, porción torácica"
292,C152,"Tumor maligno del esófago, porción abdominal"
293,C153,Tumor maligno del tercio superior del esófago
294,C154,Tumor maligno del tercio medio del esófago
295,C155,Tumor maligno del tercio inferior del esófago
296,C158,Lesión de sitios contiguos del esófago
297,C159,"Tumor maligno del esófago, parte no especificada"
298,C160,Tumor maligno del cardias
299,C161,Tumor maligno del fundus gástrico
300,C162,Tumor maligno del cuerpo del estómago
301,C163,Tumor maligno del antro pilórico
302,C164,Tumor maligno del píloro
303,C165,"Tumor maligno de la curvatura menor del estómago, sin otra especificación"
304,C166,"Tumor maligno de la curvatura mayor del estómago, sin otra especificación"
305,C168,Lesión de sitios contiguos del estómago
306,C169,"Tumor maligno del estómago, parte no especificada"
307,C170,Tumor maligno del duodeno
308,C171,Tumor maligno del yeyuno
309,C172,Tumor maligno del íleon
310,C178,Lesión de sitios contiguos del intestino delgado
311,C179,"Tumor maligno del intestino delgado, parte no especificada"
312,C180,Tumor maligno del ciego
313,C181,Tumor maligno del apéndice
314,C182,Tumor maligno del colon ascendente
315,C183,Tumor maligno del ángulo hepático
316,C184,Tumor maligno del colon transverso
317,C185,Tumor maligno del ángulo esplénico
318,C186,Tumor maligno del colon descendente
319,C187,Tumor maligno del colon sigmoide
320,C188,Lesión de sitios contiguos del colon
321,C189,"Tumor maligno del colon, parte no especificada"
322,C19X,Tumor maligno de la unión rectosigmoidea
323,C20X,Tumor maligno del recto
324,C210,"Tumor maligno del ano, parte no especificada"
325,C211,Tumor maligno del conducto anal
326,C218,"Lesión de sitios contiguos del ano, del conducto anal y del recto"
327,C220,Carcinoma de células hepáticas
328,C221,Carcinoma de vías biliares intrahepáticas
329,C222,Hepatoblastoma
330,C223,Angiosarcoma del hígado
331,C224,Otros sarcomas del hígado
332,C227,Otros carcinomas especificados del hígado
333,C229,"Tumor maligno del hígado, no especificado"
334,C23X,Tumor maligno de la vesícula biliar
335,C240,Tumor maligno de las vías biliares extrahepáticas
336,C241,Tumor maligno de la ampolla de Vater
337,C248,Lesión de sitios contiguos de las vías biliares
338,C249,"Tumor maligno de las vías biliares, parte no especificada"
339,C250,Tumor maligno de la cabeza del páncreas
340,C251,Tumor maligno del cuerpo del páncreas
341,C252,Tumor maligno de la cola del páncreas
342,C253,Tumor maligno del conducto pancreático
343,C254,Tumor maligno del páncreas endocrino
344,C257,Tumor maligno de otras partes especificadas del páncreas
345,C258,Lesión de sitios contiguos del páncreas
346,C259,"Tumor maligno del páncreas, parte no especificada"
347,C260,"Tumor maligno del intestino, parte no especificada"
348,C261,Tumor maligno del bazo
349,C268,Lesión de sitios contiguos de los órganos digestivos
350,C269,Tumor maligno de sitios mal definidos de los órganos digestivos
351,C300,Tumor maligno de la fosa nasal
352,C301,Tumor maligno del oído medio
353,C310,Tumor maligno del seno maxilar
354,C311,Tumor maligno del seno etmoidal
355,C312,Tumor maligno del seno frontal
356,C319,Tumor maligno de seno paranasal no especificado
357,C320,Tumor maligno de la glotis
358,C321,Tumor maligno de la región supraglótica
359,C322,Tumor maligno de la región subglótica
360,C323,Tumor maligno del cartílago laríngeo
361,C328,Lesión de sitios contiguos de la laringe
362,C329,"Tumor maligno de la laringe, parte no especificada"
363,C33X,Tumor maligno de la tráquea
364,C340,Tumor maligno del bronquio principal
365,C341,"Tumor maligno del lóbulo superior, bronquio o pulmón"
366,C342,"Tumor maligno del lóbulo medio, bronquio o pulmón"
367,C343,"Tumor maligno del lóbulo inferior, bronquio o pulmón"
368,C348,Lesión de sitios contiguos de los bronquios y del pulmón
369,C349,"Tumor maligno de los bronquios o del pulmón, parte no especificada"
370,C37X,Tumor maligno del timo
371,C380,Tumor maligno del corazón
372,C381,Tumor maligno del mediastino anterior
373,C382,Tumor maligno del mediastino posterior
374,C383,"Tumor maligno del mediastino, parte no especificada"
375,C384,Tumor maligno de la pleura
376,C398,Lesión de sitios contiguos de los órganos respiratorios e intratorácicos
377,C399,Tumor maligno de sitios mal definidos del sistema respiratorio
378,C400,Tumor maligno del omóplato y de los huesos largos del miembro superior
379,C401,Tumor maligno de los huesos cortos del miembro superior
380,C402,Tumor maligno de los huesos largos del miembro inferior
381,C403,Tumor maligno de los huesos cortos del miembro inferior
382,C409,"Tumor maligno de los huesos y de los cartílagos articulares de los miembros, sin otra especificación"
383,C410,Tumor maligno de los huesos del cráneo y de la cara
384,C411,Tumor maligno del hueso del maxilar inferior
385,C412,Tumor maligno de la columna vertebral
386,C413,"Tumor maligno de la costilla, esternón y clavícula"
387,C414,"Tumor maligno de los huesos de la pelvis, sacro y cóccix"
388,C418,Lesión de sitios contiguos del hueso y del cartílago articular
389,C419,"Tumor maligno del hueso y del cartílago articular, no especificado"
390,C430,Melanoma maligno del labio
391,C431,"Melanoma maligno del párpado, incluida la comisura palpebral"
392,C432,Melanoma maligno de la oreja y del conducto auditivo externo
393,C433,Melanoma maligno de las otras partes y las no especificadas de la cara
394,C434,Melanoma maligno del cuero cabelludo y del cuello
395,C435,Melanoma maligno del tronco
396,C436,"Melanoma maligno del miembro superior, incluida el hombro"
397,C437,"Melanoma maligno del miembro inferior, incluido la cadera"
398,C438,Melanoma maligno de sitios contiguos de la piel
399,C439,"Melanoma maligno de piel, sitio no especificado"
400,C440,Tumor maligno de la piel del labio
401,C441,"Tumor maligno de la piel del párpado, incluida la comisura palpebral"
402,C442,Tumor maligno de la piel de la oreja y del conducto auditivo externo
403,C443,Tumor maligno de la piel de otras partes y de las no especificadas de la cara
404,C444,Tumor maligno de la piel del cuero cabelludo y del cuello
405,C445,Tumor maligno de la piel del tronco
406,C446,"Tumor maligno de la piel del miembro superior, incluido el hombro"
407,C447,"Tumor maligno de la piel miembro inferior, incluida la cadera"
408,C449,"Tumor maligno de la piel, sitio no especificado"
409,C450,Mesotelioma de la pleura
410,C451,Mesotelioma del peritoneo
411,C457,Mesotelioma de otros sitios especificados
412,C459,"Mesotelioma, de sitio no especificado"
413,C460,Sarcoma de Kaposi de la piel
414,C467,Sarcoma de Kaposi de otros sitios especificados
415,C469,Sarcoma de Kaposi de sitio no especificado
416,C470,"Tumor maligno de los nervios periféricos de la cabeza, cara y cuello"
417,C472,"Tumor maligno de los nervios periféricos del miembro inferior, incluida la cadera"
418,C473,Tumor maligno de los nervios periféricos del tórax
419,C479,"Tumor maligno de los nervios periféricos y del sistema nervioso autónomo, parte no especificada"
420,C480,Tumor maligno del retroperitoneo
421,C481,Tumor maligno de parte especificada del peritoneo
422,C482,"Tumor maligno del peritoneo, sin otra especificación"
423,C488,Lesión de sitios contiguos del peritoneo y del retroperitoneo
424,C490,"Tumor maligno del tejido conjuntivo y tejido blando de la cabeza, cara y cuello"
425,C491,"Tumor maligno del tejido conjuntivo y tejido blando del miembro superior, incluido el hombro"
426,C492,"Tumor maligno del tejido conjuntivo y tejido blando del miembro inferior, incluida la cadera"
427,C493,Tumor maligno del tejido conjuntivo y tejido blando del tórax
428,C494,Tumor maligno del tejido conjuntivo y tejido blando del abdomen
429,C495,Tumor maligno del tejido conjuntivo y tejido blando de la pelvis
430,C496,"Tumor maligno del tejido conjuntivo y tejido blando del tronco, sin otra especificación"
431,C498,Lesión de sitios contiguos  del tejido conjuntivo y del tejido blando
432,C499,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado"
433,C500,Tumor maligno del pezón y aréola mamaria
434,C501,Tumor maligno de la porción central de la mama
435,C503,Tumor maligno del cuadrante inferior interno de la mama
436,C504,Tumor maligno del cuadrante superior externo de la mama
437,C506,Tumor maligno de la prolongación axilar de la mama
438,C508,Lesión de sitios contiguos de la mama
439,C509,"Tumor maligno de la mama, parte no especificada"
440,C510,Tumor maligno del labio mayor
441,C512,Tumor maligno del clítoris
442,C519,"Tumor maligno de la vulva, parte no especificada"
443,C52X,Tumor maligno de la vagina
444,C530,Tumor maligno del endocérvix
445,C531,Tumor maligno del exocérvix
446,C538,Lesión de sitios contiguos del cuello del útero
447,C539,"Tumor maligno del cuello del útero, sin otra especificación"
448,C540,Tumor maligno del istmo uterino
449,C541,Tumor maligno del endometrio
450,C542,Tumor maligno del miometrio
451,C549,"Tumor maligno del cuerpo del útero, parte no especificada"
452,C55X,"Tumor maligno del útero, parte no especificada"
453,C56X,Tumor maligno del ovario
454,C570,Tumor maligno de la trompa de Falopio
455,C574,"Tumor maligno de los anexos uterinos, sin otra especificación"
456,C577,Tumor maligno de otras partes especificadas de los órganos genitales femeninos
457,C578,Lesión de sitios contiguos de los órganos genitales femeninos
458,C579,"Tumor maligno de órgano genital femenino, parte no especificada"
459,C58X,Tumor maligno de la placenta
460,C600,Tumor maligno del prepucio
461,C601,Tumor maligno del glande
462,C602,Tumor maligno del cuerpo del pene
463,C609,"Tumor maligno del pene, parte no especificada"
464,C61X,Tumor maligno de la próstata
465,C620,Tumor maligno del testículo no descendido
466,C621,Tumor maligno del testículo descendido
467,C629,"Tumor maligno del testículo, no especificado"
468,C630,Tumor maligno del epidídimo
469,C631,Tumor maligno del cordón espermático
470,C632,Tumor maligno del escroto
471,C637,Tumor maligno de otras partes especificadas de los órganos genitales masculinos
472,C639,"Tumor maligno de órgano genital masculino, parte no especificada"
473,C64X,"Tumor maligno del riñón, excepto de la pelvis renal"
474,C65X,Tumor maligno de la pelvis renal
475,C66X,Tumor maligno del uréter
476,C670,Tumor maligno del trígono vesical
477,C671,Tumor maligno de la cúpula vesical
478,C672,Tumor maligno de la pared lateral de la vejiga
479,C673,Tumor maligno de la pared anterior de la vejiga
480,C674,Tumor maligno de la pared posterior de la vejiga
481,C675,Tumor maligno del cuello de la vejiga
482,C676,Tumor maligno del orificio ureteral
483,C677,Tumor maligno del uraco
484,C678,Lesión de sitios contiguos de la vejiga
485,C679,"Tumor maligno de la vejiga urinaria, parte no especificada"
486,C680,Tumor maligno de la uretra
487,C681,Tumor maligno de las glándulas parauretrales
488,C689,Tumor maligno de órgano urinario no especificado
489,C690,Tumor maligno de la conjuntiva
490,C691,Tumor maligno de la córnea
491,C692,Tumor maligno de la retina
492,C693,Tumor maligno de la coroides
493,C694,Tumor maligno del cuerpo ciliar
494,C695,Tumor maligno de la glándula y conducto lagrimales
495,C696,Tumor maligno de la órbita
496,C698,Lesión de sitios contiguos del ojo y sus anexos
497,C699,"Tumor maligno del ojo, parte no especificada"
498,C700,Tumor maligno de las meninges cerebrales
499,C701,Tumor maligno de las meninges raquídeas
500,C709,"Tumor maligno de las meninges, parte no especificada"
501,C710,"Tumor maligno del cerebro, excepto lóbulos y ventrículos"
502,C711,Tumor maligno del lóbulo frontal
503,C712,Tumor maligno del lóbulo temporal
504,C713,Tumor maligno del lóbulo parietal
505,C714,Tumor maligno del lóbulo occipital
506,C715,Tumor maligno del ventrículo cerebral
507,C716,Tumor maligno del cerebelo
508,C717,Tumor maligno del pedúnculo cerebral
509,C718,Lesión de sitios contiguos del encéfalo
510,C719,"Tumor maligno del encéfalo, parte no especificada"
511,C720,Tumor maligno de la médula espinal
512,C723,Tumor maligno del nervio óptico
513,C724,Tumor maligno del nervio acústico
514,C725,Tumor maligno de otros nervios craneales y los no especificados
515,C728,Lesión de sitios contiguos del encéfalo y otras partes del sistema nervioso central
516,C729,"Tumor maligno del sistema nervioso central, sin otra especificación"
517,C73X,Tumor maligno de la glándula tiroides
518,C740,Tumor maligno de la corteza de la glándula suprarrenal
519,C749,"Tumor maligno de la glándula suprarrenal, parte no especificada"
520,C750,Tumor maligno de la glándula paratiroides
521,C751,Tumor maligno de la hipófisis
522,C752,Tumor maligno del conducto craneofaríngeo
523,C753,Tumor maligno de la glándula pineal
524,C755,Tumor maligno del cuerpo aórtico y otros cuerpos cromafines
525,C759,Tumor maligno de glándula endocrina no especificada
526,C760,"Tumor maligno de la cabeza, cara y cuello"
527,C761,Tumor maligno del tórax
528,C762,Tumor maligno del abdomen
529,C763,Tumor maligno de la pelvis
530,C764,Tumor maligno del miembro superior
531,C765,Tumor maligno del miembro inferior
532,C767,Tumor maligno de otros sitios mal definidos
533,C768,Lesión de sitios contiguos mal definidos
534,C800,"Tumor maligno,  de sitio primario desconocido, así descrito"
535,C809,"Tumor maligno, sitio primario no especificado"
536,C810,Linfoma de Hodgkin con predominio linfocítico nodular
537,C811,Linfoma de Hodgkin clásico con esclerosis nodular
538,C812,Linfoma de Hodgkin clásico con celularidad mixta
539,C813,Linfoma de Hodgkin clásico con depleción linfocítica
540,C814,Linfoma de Hodgkin clásico rico en linfocitos
541,C817,Otros linfomas de Hodgkin clásicos
542,C819,"Linfoma de Hodgkin, no especificado"
543,C820,Linfoma folicular grado I
544,C821,Linfoma folicular grado II
545,C822,Linfoma folicular grado III no especificado
546,C823,Linfoma folicular grado IIIa
547,C824,Linfoma folicular grado IIIb
548,C825,Linfoma centro folicular difuso
549,C827,Otros tipos especificados de linfoma folicular
550,C829,"Linfoma folicular, sin otra especificación"
551,C830,Linfoma de células B pequeñas
552,C831,Linfoma de células del manto
553,C833,Linfoma de células B grandes difuso
554,C835,Linfoma linfoblástico (difuso)
555,C837,Linfoma de Burkitt
556,C838,Otros tipos especificados de linfoma no folicular
557,C839,"Linfoma no Hodgkin no folicular (difuso), sin otra especificación"
558,C840,Micosis fungoide
559,C841,Enfermedad de Sézary
